episode,episode_reward_total,episode_reward_avg,cumulative_reward,running_reward_avg,epsilon,episode_dropouts,cumulative_dropouts,q_table_states,training_episodes,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
1,0.431112,0.431112,0.431112,0.431112,0.297007,0,0,3,2,0,0,0,0,0,1
10,-0.908147,-0.908147,2.833158,0.283316,0.283906,1,1,17,11,0,0,0,1,0,0
20,0.319711,0.319711,5.444118,0.272206,0.270026,0,2,31,21,0,0,0,1,0,0
30,0.574299,0.574299,9.767756,0.325592,0.256825,0,2,47,31,0,0,0,1,0,0
40,0.307057,0.307057,13.956031,0.348901,0.244269,0,2,61,41,0,0,0,1,0,0
50,0.478527,0.478527,17.359347,0.347187,0.232326,0,3,76,51,0,0,0,0,0,1
60,0.456249,0.456249,20.801475,0.346691,0.220968,0,4,92,61,0,0,0,0,1,0
70,0.433119,0.433119,23.973831,0.342483,0.210165,0,5,110,71,0,0,0,1,0,0
80,0.442861,0.442861,28.743461,0.359293,0.19989,0,5,125,81,0,0,0,0,1,0
90,-0.840848,-0.840848,30.404328,0.337826,0.190117,1,7,140,91,0,1,0,0,0,0
100,0.364538,0.364538,34.761141,0.347611,0.180822,0,7,155,101,0,0,0,1,0,0
110,0.277116,0.277116,39.145312,0.355866,0.171982,0,7,169,111,0,0,0,0,1,0
120,0.539331,0.539331,44.112597,0.367605,0.163574,0,7,181,121,0,0,1,0,0,0
130,-0.838349,-0.838349,45.75944,0.351996,0.155577,1,9,195,131,1,0,0,0,0,0
140,0.548537,0.548537,50.129113,0.358065,0.147971,0,9,206,141,0,0,0,0,1,0
150,-0.841026,-0.841026,53.083975,0.353893,0.140736,1,10,222,151,0,0,0,0,1,0
160,-0.857661,-0.857661,54.841637,0.34276,0.133856,1,12,238,161,0,0,0,1,0,0
170,0.164782,0.164782,56.267033,0.330983,0.127312,0,14,253,171,0,1,0,0,0,0
180,0.474614,0.474614,57.898231,0.321657,0.121087,0,16,272,181,0,0,0,0,1,0
190,0.480322,0.480322,60.613595,0.319019,0.115167,0,17,288,191,0,1,0,0,0,0
200,0.455053,0.455053,64.597396,0.322987,0.109537,0,17,301,201,0,0,0,1,0,0
210,0.537749,0.537749,67.714124,0.322448,0.104182,0,18,315,211,0,0,1,0,0,0
220,0.558792,0.558792,70.045032,0.318387,0.099088,0,20,328,221,0,0,0,1,0,0
230,0.511543,0.511543,72.818909,0.316604,0.094244,0,21,342,231,0,0,1,0,0,0
240,0.531643,0.531643,76.092457,0.317052,0.089636,0,22,356,241,0,0,0,0,0,1
250,0.479706,0.479706,80.236285,0.320945,0.085254,0,22,369,251,0,1,0,0,0,0
260,0.365379,0.365379,83.049404,0.319421,0.081086,0,23,386,261,0,1,0,0,0,0
270,0.574001,0.574001,87.50683,0.324099,0.077122,0,23,402,271,1,0,0,0,0,0
280,0.50271,0.50271,91.682394,0.327437,0.073351,0,23,416,281,0,0,1,0,0,0
290,0.49106,0.49106,96.263663,0.331944,0.069765,0,23,432,291,1,0,0,0,0,0
300,0.311151,0.311151,101.099619,0.336999,0.066354,0,23,447,301,0,0,0,1,0,0
310,0.367786,0.367786,105.255796,0.339535,0.06311,0,23,461,311,0,0,0,0,1,0
320,0.530467,0.530467,109.79498,0.343109,0.060025,0,23,472,321,0,1,0,0,0,0
330,0.390144,0.390144,114.572945,0.347191,0.05709,0,23,486,331,0,1,0,0,0,0
340,0.488325,0.488325,118.022774,0.347126,0.054299,0,24,500,341,0,0,0,1,0,0
350,0.296141,0.296141,118.439243,0.338398,0.051644,0,27,516,351,0,0,0,1,0,0
360,0.312404,0.312404,122.38042,0.339946,0.05,0,27,529,361,0,1,0,0,0,0
370,0.442727,0.442727,125.699678,0.339729,0.05,0,28,545,371,0,0,1,0,0,0
380,0.343392,0.343392,128.084229,0.337064,0.05,0,29,559,381,0,0,0,0,0,1
390,0.484574,0.484574,132.476925,0.339684,0.05,0,29,574,391,0,1,0,0,0,0
400,0.586524,0.586524,137.511069,0.343778,0.05,0,29,590,401,0,1,0,0,0,0
410,0.525856,0.525856,141.694664,0.345597,0.05,0,29,606,411,0,1,0,0,0,0
420,0.472205,0.472205,146.693253,0.34927,0.05,0,29,619,421,1,0,0,0,0,0
